Building ID,BIN,Street Address,Block,Lot,BQI,AEP Order,HPD Vacate Order,DOB Vacate Order,Harassment Finding,Date Added,Borocode,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BBL,NTA - Neighborhood Tabulation Area
66,1044375,1149 1 AVENUE,1437,30,No,No,No,Yes,No,10/16/2018,1,MANHATTAN,10065,40.761969,-73.960252,108,5,110,1014370030,Lenox Hill-Roosevelt Island
93,1044741,1225 1 AVENUE,1441,23,No,No,No,Yes,No,10/16/2018,1,MANHATTAN,10065,40.764137,-73.958688,108,5,118,1014410023,Lenox Hill-Roosevelt Island
671,1040147,940 1 AVENUE,1363,49,No,Yes,No,No,No,10/16/2018,1,MANHATTAN,10022,40.754906,-73.965393,106,4,8603,1013630049,Turtle Bay-East Midtown
962,1049909,1594 2 AVENUE,1545,51,No,No,Yes,Yes,No,10/16/2018,1,MANHATTAN,10028,40.775718,-73.953305,108,5,138,1015450051,Yorkville
964,1049908,1596 2 AVENUE,1545,50,No,No,Yes,No,No,10/16/2018,1,MANHATTAN,10028,40.775773,-73.953265,108,5,138,1015450050,Yorkville
1089,1050305,1830 2 AVENUE,1557,4,No,No,Yes,Yes,No,10/16/2018,1,MANHATTAN,10128,40.783274,-73.947782,108,5,15601,1015570004,Yorkville
1102,1050341,1854 2 AVENUE,1558,49,No,No,No,Yes,No,10/16/2018,1,MANHATTAN,10128,40.784078,-73.947196,108,5,15601,1015580049,Yorkville
1142,1052674,2000 2 AVENUE,1675,1,No,No,Yes,Yes,No,10/16/2018,1,MANHATTAN,10029,40.788712,-73.94383,111,8,164,1016750001,East Harlem South
1183,1052801,2100 2 AVENUE,1680,1,Yes,No,No,No,No,10/16/2018,1,MANHATTAN,10029,40.792074,-73.941372,111,8,170,1016800001,East Harlem South
1232,1052892,2172 2 AVENUE,1683,51,No,No,No,Yes,No,10/16/2018,1,MANHATTAN,10029,40.794236,-73.939785,111,8,180,1016830051,East Harlem North
