Building ID,BIN,Street Address,Borocode,Block,Lot,BBL,Number of buildings in portfolio (from WoW),Number of units in portfolio (from WoW),Top owners (from WoW),Top corporation name (from WoW),Top business address (from WoW),Virtual portfolio ID,Virtual portfolio BBL count
66,1044375,1149 1 AVENUE,1,1437,30,1014370030,10,451,"BERNARD GANS, PETER FRANCO, BERNIE GANS, JOSH KOPPEL, GINO FENECH",B. GANS MGT,110 EAST 30TH STREET 4FLOOR 10016,13,1581
93,1044741,1225 1 AVENUE,1,1441,23,1014410023,4,63,"SERGIO SPODEK, SAMUEL KAPLAN, DANIEL KAZSTELAN, SUSAN BERENHOLZ, ALDIN DERVISEVIC",DMB PROPERTIES INC,1695 LEXINGTON AVENUE STORE 10029,78,4
671,1040147,940 1 AVENUE,1,1363,49,1013630049,59,386,"MOSES KARPEN, LEO KLEIN, CHASKIEL STRULOVITCH, CHASKIEL STRULOWITZ, MOSES STRULOVITCH",WATERFRONT PROPERTY MANAGEMENT,116 NOSTRAND AVENUE 11205,157,135
962,1049909,1594 2 AVENUE,1,1545,51,1015450051,10,313,"SYNE KANACEVIC, ERIC KALIMIAN, LAILA SHIRIAN, FABIO GONZALEZ, TODD WITTENSTEIN",ELK 300 E 83 LLC,489 FIFTH AVENUE 8FLOOR 10017,94,10
964,1049908,1596 2 AVENUE,1,1545,50,1015450050,10,313,"SYNE KANACEVIC, ERIC KALIMIAN, LAILA SHIRIAN, FABIO GONZALEZ, TODD WITTENSTEIN",ELK 300 E 83 LLC,489 FIFTH AVENUE 8FLOOR 10017,94,10
1089,1050305,1830 2 AVENUE,1,1557,4,1015570004,96,1879,"ELY SAMUELS, KAMRAN HAKIM, ELLEN HAKIM, JOAN COHEN, MIRTHA AGUIRRE",EL-KAM REALTY,3 WEST 57TH STREET 6FLOOR 10019,91,96
1102,1050341,1854 2 AVENUE,1,1558,49,1015580049,5,104,"NORMAN SILVER, STEVE FOREST, VATE PAPUSHAJ, DAVID BERLEY, PETER WEISS","WALTER & SAMUELS, INC.",419 PARK AVENUE SOUTH 15FLOOR 10016,93,5
1142,1052674,2000 2 AVENUE,1,1675,1,1016750001,1,6,"FARIBA NABATIAN, BRONCO PEREZ",NAB 2000 REALTY LLC,10 CHANNEL DRIVE 11024,183,1
1183,1052801,2100 2 AVENUE,1,1680,1,1016800001,150,2555,"STEVE CROMAN, ANNABELLE SANTIAGO, STEVEN CROMAN, CATHY BURTON, JESUS CERTUCHE",NEW YORK CITY MANAGEMENT LLC,740 BROADWAY 10003,16,150
1232,1052892,2172 2 AVENUE,1,1683,51,1016830051,44,1214,YONAH HALTON,QUALITY BH 108TH MANHATTAN LLC,829 GREENWOOD AVENUE 1C 11218,75,44
1344,1054647,2409 2 AVENUE,1,1788,26,1017880026,19,200,"NASIR SASOUNESS, NASIR SASOUNESZ, NASIR SASOUNEIS, NASIR SAJOUNESS, NASIN SASOUNESS",SASSON RTY MGR,2242 SECOND AVENUE 10029,58,19
1376,1020464,316 2 AVENUE,1,924,4,1009240004,72,197,"MANSOUR MEHDIZADEH, TONY ZADEH, DAVID DILMANIAN, AREF SHAHIPOUR, MANSOUR MEHDZIADEH",BROOKVILLE HOMES LLC,14720 HILLSIDE AVENUE 11435,126,72
1498,1020188,643 2 AVENUE,1,916,30,1009160030,45,558,"JOEL RADMIN, ROBERT FARHADIAN, ARLENE RADMIN, WILLIAM RADMIN, MAHAN KIUMEHR",SIR REALTY,44 EAST 32ND STREET 9FLOOR 10016,33,71
1499,1020189,645 2 AVENUE,1,916,31,1009160031,26,217,"JOEL RADMIN, ARLENE RADMIN, WILLIAM RADMIN, ROBERT FARHADIAN, HERMAN GANS",SIR REALTY,44 EAST 32ND STREET 900 10016,33,71
1521,1020357,707 2 AVENUE,1,919,27,1009190027,42,2377,"PAUL HOWARD, SOPHIA LAMAS, ADIS SAHMANOVIC, CHRISTOPHER ORPHEUS, RROK BUNJAJ","BLDG MANAGEMENT CO., INC.",417 FIFTH AVENUE 400 10016,82,42
1823,1048056,1562 3 AVENUE,1,1516,39,1015160039,7,104,"KOSTAS ZACHARIADIS, ANTHONY ZACHARIADIS, CHALIO PEREA, ZACH ZACHARIADIS, CHALIO PERERRA",TOMAR EQUITIES LLC,346 EAST 59TH STREET 1 10022,74,7
